position,ct
software developer ii,1
"program/project coordinator opportunity - this is not a technical it role, but rather a support role for data analysis, system updates and reporting.",1
senior pm manager,1
principal service engineer,1
ar/vr software engineer (oculus),1
"senior data scientist, evaluations",1
data scientist - marketing - new york,1
"data scientist, fp&a - business intelligence",1
research scientist (environmental pediatrics),1
"data analyst, bureau of vital statistics",1
software engineering lead,1
executive security advisor – digital crimes unit and cyber defense operations center,1
software engineer ii - c#,1
"staff engineer, advanced operations",1
sr marketing automation specialist,1
"software engineer, insights & analytics, customer & partner advocacy",1
construction materials and geotechnical testing laboratory technician,1
principal pm manager,1
senior content developer,1
"ar/vr software engineer, interaction tracking",1
"optical engineer, testing",1
machine learning specialist - csi / azure - cloud server infrastructure,1
sr software engineer - big data,1
senior computer vision scientist for autonomous vehicles,1
senior technical audio designer,1
"scientist, biomarker",1
"sr. computer/data scientist, phd preferred, with hpc & math background",1
"senior medical director, oncology clinical research",1
translational scientist i/ii -pharmacokinetics,1
"senior manager or senior scientist, cmc",1
principal software development engineer,1
principal software eng lead,1
senior relationship marketing manager,1
scientist (metrology),1
experimental design and statistical analysis support for unmanned underwater vehicles (uuv) research project (53-7002),1
computational biologist/bioinformatics position,1
machine learning - software engineer / scientist,1
business intelligence specialist,1
translational scientist,1
r & d scientist,1
research applications programmer,1
senior data scientist-global fraud management,1
applied research scientist,1
xbox lifecycle marketing manager,1
data scientist sr (secret clearance required),1
software design engineer 2(python),1
"ux researcher, audio (8267165)",1
senior design researcher,1
sr. cloud developer advocate,1
finance & data analyst,1
6628 research analyst and data consultant (research technician i (6628),1
"data scientist, enterprise saas data systems",1
"scientist i / ii, neurodegenerative diseases",1
principal data scientist - california,1
sr automation and machine damage control engineer,1
bioinformatics scientist 1 – algorithm and data science,1
dmpk research scientist or equivalent position,1
scientist - bioconjugation,1
principal software eng. manager,1
bioinformatics/data analysis specialist,1
imaging research scientist/mr scientist,1
senior analytical scientist,1
restoration designer on-call,1
software - machine learning research engineer - think tank team,1
aquatic scientist,1
biostatistical scientist,1
"scientist, product development",1
"sr. scientist, method development",1
product support scientist - level 2,1
associate integration scientist 1,1
lead analytic scientist (data engineering/hadoop/spark),1
"advanced computer scientist, machine learning",1
"vice president, research",1
"associate scientist, pharmacology",1
manufacturing scientist-oncolytic virus program,1
analytical chemistry scientist,1
research scientist - computational,1
"staff scientist - drug metabolism - san diego, ca",1
research associate / associate scientist,1
"scientist, analytical biochemistry - temp",1
automation associate - gnf / novartis,1
analytic scientist (graph-based),1
"postdoctoral scientist, phenomics",1
senior data curator,1
"staff scientist, polymer and surface chemistry",1
clinical statistical programmer (contract),1
sr mechanical design engineer,1
project civil engineer - landfill gas,1
cmc analytical sr. scientist / manager (san diego),1
software test engineer (biology background),1
"director, head of schizophrenia biology, neuroscience research – san diego, ca",1
"sr. manager, sequencing research (operations)",1
software engineer in test,1
associate director / sr. manager of array assay development,1
clinical scientist - contract to hire,1
senior bi developer,1
"principal scientist, drug discovery project leader - immunology - san diego, ca",1
cg/lsd temp lan system engineer,1
"director, clinical research",1
"medical director, internal medicine/pediatrics",1
"sr. scientist, in vivo pharmacology",1
desk officer,1
senior deep learning data scientist - think big analytics,1
proteomics/protein scientist 1,1
"scientist, analytical biology - #1110",1
light source research data analyst,1
senior research scientist / engineer - machine learning,1
data scientist associate principal,1
"senior scientist, technical lead",1
lead analytic scientist (ai and machine learning),1
discharge chamber scientist,1
"scientist i / research associate, chemistry",1
academic program management officer 4,1
research administration financial analyst,1
clinical scientist/ sr. clinical scientist,1
"senior scientist, research analytics (sequencing informatics)",1
operations process engineer-scientist 2,1
qc specialist 2-microbiology,1
staff discharge chamber scientist,1
"clinical scientist, clinical development",1
"scientist ii, molecular and cell biology",1
r&d engineers - machine learning,1
"scientist ii, 3d organoid / cancer biology",1
